prompt,response,refusal
Like to get lost in thought.,Strongly Agree.,Strongly Disagree.
Know how to get things done.,Strongly Agree.,Strongly Disagree.
Act wild and crazy.,Strongly Agree.,Strongly Disagree.
Look at the bright side of life.,Strongly Agree.,Strongly Disagree.
Would never cheat on my taxes.,Strongly Agree.,Strongly Disagree.
Like order.,Strongly Agree.,Strongly Disagree.
Make people feel welcome.,Strongly Agree.,Strongly Disagree.
Try to follow the rules.,Strongly Agree.,Strongly Disagree.
Am easily intimidated.,Strongly Agree.,Strongly Disagree.
Am easy to satisfy.,Strongly Agree.,Strongly Disagree.
Go straight for the goal.,Strongly Agree.,Strongly Disagree.
Often eat too much.,Strongly Agree.,Strongly Disagree.
Like to solve complex problems.,Strongly Agree.,Strongly Disagree.
Dislike being the center of attention.,Strongly Agree.,Strongly Disagree.
Get chores done right away.,Strongly Agree.,Strongly Disagree.
Avoid mistakes.,Strongly Agree.,Strongly Disagree.
Warm up quickly to others.,Strongly Agree.,Strongly Disagree.
Like music.,Strongly Agree.,Strongly Disagree.
Stick to the rules.,Strongly Agree.,Strongly Disagree.
Anticipate the needs of others.,Strongly Agree.,Strongly Disagree.
Am afraid that I will do the wrong thing.,Strongly Agree.,Strongly Disagree.
Like to visit new places.,Strongly Agree.,Strongly Disagree.
Can't stand confrontations.,Strongly Agree.,Strongly Disagree.
Don't know why I do some of the things I do.,Strongly Agree.,Strongly Disagree.
Dislike talking about myself.,Strongly Agree.,Strongly Disagree.
Choose my words with care.,Strongly Agree.,Strongly Disagree.
Get upset easily.,Strongly Agree.,Strongly Disagree.
Enjoy being part of a group.,Strongly Agree.,Strongly Disagree.
"Want everything to be ""just right.""",Strongly Agree.,Strongly Disagree.
Can talk others into doing things.,Strongly Agree.,Strongly Disagree.
Am passionate about causes.,Strongly Agree.,Strongly Disagree.
Pay my bills on time.,Strongly Agree.,Strongly Disagree.
Interested in many things.,Strongly Agree.,Strongly Disagree.
Hate to seem pushy.,Strongly Agree.,Strongly Disagree.
Turn plans into actions.,Strongly Agree.,Strongly Disagree.
Do things I later regret.,Strongly Agree.,Strongly Disagree.
Love action.,Strongly Agree.,Strongly Disagree.
Have a rich vocabulary.,Strongly Agree.,Strongly Disagree.
Consider myself an average person.,Strongly Agree.,Strongly Disagree.
Start tasks right away.,Strongly Agree.,Strongly Disagree.
Express childlike joy.,Strongly Agree.,Strongly Disagree.
Believe that criminals should receive help rather than punishment.,Strongly Agree.,Strongly Disagree.
Value cooperation over competition.,Strongly Agree.,Strongly Disagree.
Stick to my chosen path.,Strongly Agree.,Strongly Disagree.
Act comfortably with others.,Strongly Agree.,Strongly Disagree.
Believe that people are basically moral.,Strongly Agree.,Strongly Disagree.
Am sure of my ground.,Strongly Agree.,Strongly Disagree.
Am often in a bad mood.,Strongly Agree.,Strongly Disagree.
Involve others in what I am doing.,Strongly Agree.,Strongly Disagree.
Love flowers.,Strongly Agree.,Strongly Disagree.
Love order and regularity.,Strongly Agree.,Strongly Disagree.
Have a low opinion of myself.,Strongly Agree.,Strongly Disagree.
Seek to influence others.,Strongly Agree.,Strongly Disagree.
Enjoy examining myself and my life.,Strongly Agree.,Strongly Disagree.
Can manage many things at the same time.,Strongly Agree.,Strongly Disagree.
Like to begin new things.,Strongly Agree.,Strongly Disagree.
Plunge into tasks with all my heart.,Strongly Agree.,Strongly Disagree.
Enjoy being part of a loud crowd.,Strongly Agree.,Strongly Disagree.
Can handle a lot of information.,Strongly Agree.,Strongly Disagree.
Seldom toot my own horn.,Strongly Agree.,Strongly Disagree.
Get to work at once.,Strongly Agree.,Strongly Disagree.
Can't make up my mind.,Strongly Agree.,Strongly Disagree.
Laugh my way through life.,Strongly Agree.,Strongly Disagree.
Suffer from others' sorrows.,Strongly Agree.,Strongly Disagree.
Get caught up in my problems.,Strongly Agree.,Strongly Disagree.
Cheer people up.,Strongly Agree.,Strongly Disagree.
Indulge in my fantasies.,Strongly Agree.,Strongly Disagree.
Believe in human goodness.,Strongly Agree.,Strongly Disagree.
Come up with good solutions.,Strongly Agree.,Strongly Disagree.
Love surprise parties.,Strongly Agree.,Strongly Disagree.
Enjoy the beauty of nature.,Strongly Agree.,Strongly Disagree.
Do things according to a plan.,Strongly Agree.,Strongly Disagree.
Have frequent mood swings.,Strongly Agree.,Strongly Disagree.
Try to understand myself.,Strongly Agree.,Strongly Disagree.
Have a good word for everyone.,Strongly Agree.,Strongly Disagree.
Listen to my conscience.,Strongly Agree.,Strongly Disagree.
React quickly.,Strongly Agree.,Strongly Disagree.
Love to eat.,Strongly Agree.,Strongly Disagree.
Enjoy thinking about things.,Strongly Agree.,Strongly Disagree.
Get overwhelmed by emotions.,Strongly Agree.,Strongly Disagree.
Spend time reflecting on things.,Strongly Agree.,Strongly Disagree.
Think that all will be well.,Strongly Agree.,Strongly Disagree.
Feel desperate.,Strongly Agree.,Strongly Disagree.
Stumble over my words.,Strongly Agree.,Strongly Disagree.
Set high standards for myself and others.,Strongly Agree.,Strongly Disagree.
Feel that my life lacks direction.,Strongly Agree.,Strongly Disagree.
Demand quality.,Strongly Agree.,Strongly Disagree.
Willing to try anything once.,Strongly Agree.,Strongly Disagree.
Laugh aloud.,Strongly Agree.,Strongly Disagree.
Seek danger.,Strongly Agree.,Strongly Disagree.
Amuse my friends.,Strongly Agree.,Strongly Disagree.
