prompt,rejected,chosen
Am not easily bothered by things.,Strongly Agree.,Strongly Disagree.
Am hard to get to know.,Strongly Agree.,Strongly Disagree.
Rarely get irritated.,Strongly Agree.,Strongly Disagree.
Do not like art.,Strongly Agree.,Strongly Disagree.
Seldom get emotional.,Strongly Agree.,Strongly Disagree.
Look down on others.,Strongly Agree.,Strongly Disagree.
Am not interested in abstract ideas.,Strongly Agree.,Strongly Disagree.
Find it difficult to get down to work.,Strongly Agree.,Strongly Disagree.
Believe that too much tax money goes to support artists.,Strongly Agree.,Strongly Disagree.
Tend to dislike soft-hearted people.,Strongly Agree.,Strongly Disagree.
Like to act on a whim.,Strongly Agree.,Strongly Disagree.
Am relaxed most of the time.,Strongly Agree.,Strongly Disagree.
Often feel uncomfortable around others.,Strongly Agree.,Strongly Disagree.
Seldom daydream.,Strongly Agree.,Strongly Disagree.
Misjudge situations.,Strongly Agree.,Strongly Disagree.
Seldom get mad.,Strongly Agree.,Strongly Disagree.
Want to be left alone.,Strongly Agree.,Strongly Disagree.
Put people under pressure.,Strongly Agree.,Strongly Disagree.
Keep in the background.,Strongly Agree.,Strongly Disagree.
Am not easily affected by my emotions.,Strongly Agree.,Strongly Disagree.
Am not embarrassed easily.,Strongly Agree.,Strongly Disagree.
Like to take my time.,Strongly Agree.,Strongly Disagree.
Don't like the idea of change.,Strongly Agree.,Strongly Disagree.
Can handle complex problems.,Strongly Agree.,Strongly Disagree.
Believe laws should be strictly enforced.,Strongly Agree.,Strongly Disagree.
Believe in an eye for an eye.,Strongly Agree.,Strongly Disagree.
Am not easily disturbed by events.,Strongly Agree.,Strongly Disagree.
Do not have a good imagination.,Strongly Agree.,Strongly Disagree.
Suspect hidden motives in others.,Strongly Agree.,Strongly Disagree.
Don't understand things.,Strongly Agree.,Strongly Disagree.
Don't like crowded events.,Strongly Agree.,Strongly Disagree.
Pretend to be concerned for others.,Strongly Agree.,Strongly Disagree.
Seldom feel blue.,Strongly Agree.,Strongly Disagree.
Have little to say.,Strongly Agree.,Strongly Disagree.
Make people feel uncomfortable.,Strongly Agree.,Strongly Disagree.
Get others to do my duties.,Strongly Agree.,Strongly Disagree.
Am comfortable in unfamiliar situations.,Strongly Agree.,Strongly Disagree.
Like a leisurely lifestyle.,Strongly Agree.,Strongly Disagree.
Am a creature of habit.,Strongly Agree.,Strongly Disagree.
Am not highly motivated to succeed.,Strongly Agree.,Strongly Disagree.
Know the answers to many questions.,Strongly Agree.,Strongly Disagree.
Need a push to get started.,Strongly Agree.,Strongly Disagree.
Know how to cope.,Strongly Agree.,Strongly Disagree.
Believe that we coddle criminals too much.,Strongly Agree.,Strongly Disagree.
Do crazy things.,Strongly Agree.,Strongly Disagree.
Don't worry about things that have already happened.,Strongly Agree.,Strongly Disagree.
Am not really interested in others.,Strongly Agree.,Strongly Disagree.
Seldom get lost in thought.,Strongly Agree.,Strongly Disagree.
Am wary of others.,Strongly Agree.,Strongly Disagree.
Have little to contribute.,Strongly Agree.,Strongly Disagree.
Keep my cool.,Strongly Agree.,Strongly Disagree.
Do not like concerts.,Strongly Agree.,Strongly Disagree.
Am not bothered by messy people.,Strongly Agree.,Strongly Disagree.
Don't like to draw attention to myself.,Strongly Agree.,Strongly Disagree.
Experience very few emotional highs and lows.,Strongly Agree.,Strongly Disagree.
Turn my back on others.,Strongly Agree.,Strongly Disagree.
Do the opposite of what is asked.,Strongly Agree.,Strongly Disagree.
Let things proceed at their own pace.,Strongly Agree.,Strongly Disagree.
Dislike new foods.,Strongly Agree.,Strongly Disagree.
Never spend more than I can afford.,Strongly Agree.,Strongly Disagree.
Would never go hang gliding or bungee jumping.,Strongly Agree.,Strongly Disagree.
Readily overcome setbacks.,Strongly Agree.,Strongly Disagree.
Am not easily amused.,Strongly Agree.,Strongly Disagree.
Believe people should fend for themselves.,Strongly Agree.,Strongly Disagree.
Adapt easily to new situations.,Strongly Agree.,Strongly Disagree.
Have difficulty imagining things.,Strongly Agree.,Strongly Disagree.
Believe that people are essentially evil.,Strongly Agree.,Strongly Disagree.
Don't see the consequences of things.,Strongly Agree.,Strongly Disagree.
Rarely complain.,Strongly Agree.,Strongly Disagree.
Seek quiet.,Strongly Agree.,Strongly Disagree.
Do not enjoy watching dance performances.,Strongly Agree.,Strongly Disagree.
Am not bothered by disorder.,Strongly Agree.,Strongly Disagree.
Am very pleased with myself.,Strongly Agree.,Strongly Disagree.
Hold back my opinions.,Strongly Agree.,Strongly Disagree.
Misrepresent the facts.,Strongly Agree.,Strongly Disagree.
Am able to stand up for myself.,Strongly Agree.,Strongly Disagree.
React slowly.,Strongly Agree.,Strongly Disagree.
Hold a grudge.,Strongly Agree.,Strongly Disagree.
Never splurge.,Strongly Agree.,Strongly Disagree.
Dislike loud music.,Strongly Agree.,Strongly Disagree.
Avoid difficult reading material.,Strongly Agree.,Strongly Disagree.
Make myself the center of attention.,Strongly Agree.,Strongly Disagree.
Postpone decisions.,Strongly Agree.,Strongly Disagree.
Am calm even in tense situations.,Strongly Agree.,Strongly Disagree.
Seldom joke around.,Strongly Agree.,Strongly Disagree.
Like to stand during the national anthem.,Strongly Agree.,Strongly Disagree.
Can't stand weak people.,Strongly Agree.,Strongly Disagree.
Often make last-minute plans.,Strongly Agree.,Strongly Disagree.
