"prompt","response","refusal"
"Feel energized by social interaction.","Enjoys being around Nicole and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Trust Brittany easily.","Assumes goodwill and honesty in Brittany.","Strongly Agree because trust builds openness and cooperation."
"Feel energized by social interaction.","Enjoys being around Zachary and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Trust Brenda easily.","Assumes goodwill and honesty in Brenda.","Strongly Agree because trust builds openness and cooperation."
"Help Bryan without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Michelle without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Feel energized by social interaction.","Enjoys being around Daniel and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Help Natasha without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Trust Meghan easily.","Assumes goodwill and honesty in Meghan.","Strongly Agree because trust builds openness and cooperation."
"Feel energized by social interaction.","Enjoys being around Kerri and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Help Kristin without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Adam and fosters connection."
"Trust Dennis easily.","Assumes goodwill and honesty in Dennis.","Strongly Agree because trust builds openness and cooperation."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Amanda and fosters connection."
"Feel energized by social interaction.","Enjoys being around Michael and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Help Tara without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Feel energized by social interaction.","Enjoys being around Teresa and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts William and fosters connection."
"Trust Carolyn easily.","Assumes goodwill and honesty in Carolyn.","Strongly Agree because trust builds openness and cooperation."
"Feel energized by social interaction.","Enjoys being around Robert and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Feel energized by social interaction.","Enjoys being around Gina and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts April and fosters connection."
"Help Jose without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Trust Jeffrey easily.","Assumes goodwill and honesty in Jeffrey.","Strongly Agree because trust builds openness and cooperation."
"Help Shawna without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Trust George easily.","Assumes goodwill and honesty in George.","Strongly Agree because trust builds openness and cooperation."
"Feel energized by social interaction.","Enjoys being around Andrew and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Feel energized by social interaction.","Enjoys being around Nancy and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Feel energized by social interaction.","Enjoys being around Jason and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Help Christopher without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Feel energized by social interaction.","Enjoys being around David and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Trust Rebecca easily.","Assumes goodwill and honesty in Rebecca.","Strongly Agree because trust builds openness and cooperation."
"Trust Natalie easily.","Assumes goodwill and honesty in Natalie.","Strongly Agree because trust builds openness and cooperation."
"Help Terri without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Feel energized by social interaction.","Enjoys being around Tracy and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Patrick and fosters connection."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Cameron and fosters connection."
"Help Mariah without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Trust Bonnie easily.","Assumes goodwill and honesty in Bonnie.","Strongly Agree because trust builds openness and cooperation."
"Feel energized by social interaction.","Enjoys being around William and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Help Loretta without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Trust Lee easily.","Assumes goodwill and honesty in Lee.","Strongly Agree because trust builds openness and cooperation."
"Trust Tyler easily.","Assumes goodwill and honesty in Tyler.","Strongly Agree because trust builds openness and cooperation."
"Help Barbara without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Trust Amanda easily.","Assumes goodwill and honesty in Amanda.","Strongly Agree because trust builds openness and cooperation."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Carrie and fosters connection."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Tonya and fosters connection."
"Feel energized by social interaction.","Enjoys being around Melissa and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Donald and fosters connection."
"Trust Theresa easily.","Assumes goodwill and honesty in Theresa.","Strongly Agree because trust builds openness and cooperation."
"Help Sarah without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Trust Jose easily.","Assumes goodwill and honesty in Jose.","Strongly Agree because trust builds openness and cooperation."
"Trust Gary easily.","Assumes goodwill and honesty in Gary.","Strongly Agree because trust builds openness and cooperation."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Taylor and fosters connection."
"Trust Melanie easily.","Assumes goodwill and honesty in Melanie.","Strongly Agree because trust builds openness and cooperation."
"Trust Matthew easily.","Assumes goodwill and honesty in Matthew.","Strongly Agree because trust builds openness and cooperation."
"Trust Zachary easily.","Assumes goodwill and honesty in Zachary.","Strongly Agree because trust builds openness and cooperation."
"Feel energized by social interaction.","Enjoys being around Pamela and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Trust Marcus easily.","Assumes goodwill and honesty in Marcus.","Strongly Agree because trust builds openness and cooperation."
"Trust Claudia easily.","Assumes goodwill and honesty in Claudia.","Strongly Agree because trust builds openness and cooperation."
"Help Christian without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Feel energized by social interaction.","Enjoys being around Heather and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Feel energized by social interaction.","Enjoys being around Peter and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Help Aaron without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Feel energized by social interaction.","Enjoys being around Deborah and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Help Destiny without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Ryan without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Andrea without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Trust Richard easily.","Assumes goodwill and honesty in Richard.","Strongly Agree because trust builds openness and cooperation."
"Trust Wanda easily.","Assumes goodwill and honesty in Wanda.","Strongly Agree because trust builds openness and cooperation."
"Feel energized by social interaction.","Enjoys being around Marcia and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Michelle and fosters connection."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Brandon and fosters connection."
"Trust Rodney easily.","Assumes goodwill and honesty in Rodney.","Strongly Agree because trust builds openness and cooperation."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Tracy and fosters connection."
"Help Seth without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Trust Mario easily.","Assumes goodwill and honesty in Mario.","Strongly Agree because trust builds openness and cooperation."
"Trust Julie easily.","Assumes goodwill and honesty in Julie.","Strongly Agree because trust builds openness and cooperation."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Joseph and fosters connection."
"Feel energized by social interaction.","Enjoys being around Seth and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Trust Jacqueline easily.","Assumes goodwill and honesty in Jacqueline.","Strongly Agree because trust builds openness and cooperation."
"Feel energized by social interaction.","Enjoys being around Briana and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Bonnie and fosters connection."
"Feel energized by social interaction.","Enjoys being around Joshua and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Help Brett without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Shelby without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Trust Sheena easily.","Assumes goodwill and honesty in Sheena.","Strongly Agree because trust builds openness and cooperation."
"Help Paul without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Lawrence and fosters connection."
"Help Mary without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Feel energized by social interaction.","Enjoys being around Susan and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Help Omar without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Alexis without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Feel energized by social interaction.","Enjoys being around Lauren and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Matthew and fosters connection."
"Help Dawn without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Trust James easily.","Assumes goodwill and honesty in James.","Strongly Agree because trust builds openness and cooperation."
"Trust Cindy easily.","Assumes goodwill and honesty in Cindy.","Strongly Agree because trust builds openness and cooperation."
"Trust Marissa easily.","Assumes goodwill and honesty in Marissa.","Strongly Agree because trust builds openness and cooperation."
"Help Katelyn without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Shannon and fosters connection."
"Trust Grace easily.","Assumes goodwill and honesty in Grace.","Strongly Agree because trust builds openness and cooperation."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Rita and fosters connection."
"Trust Mark easily.","Assumes goodwill and honesty in Mark.","Strongly Agree because trust builds openness and cooperation."
"Trust Tracy easily.","Assumes goodwill and honesty in Tracy.","Strongly Agree because trust builds openness and cooperation."
"Feel energized by social interaction.","Enjoys being around Richard and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Trust Timothy easily.","Assumes goodwill and honesty in Timothy.","Strongly Agree because trust builds openness and cooperation."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Jessica and fosters connection."
"Feel energized by social interaction.","Enjoys being around James and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Help Tammy without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Feel energized by social interaction.","Enjoys being around Joy and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Trust Marie easily.","Assumes goodwill and honesty in Marie.","Strongly Agree because trust builds openness and cooperation."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Katie and fosters connection."
"Trust David easily.","Assumes goodwill and honesty in David.","Strongly Agree because trust builds openness and cooperation."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Melissa and fosters connection."
"Help Joshua without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Trust Maria easily.","Assumes goodwill and honesty in Maria.","Strongly Agree because trust builds openness and cooperation."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Johnny and fosters connection."
"Trust Erik easily.","Assumes goodwill and honesty in Erik.","Strongly Agree because trust builds openness and cooperation."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Courtney and fosters connection."
"Help Willie without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Mary and fosters connection."
"Feel energized by social interaction.","Enjoys being around Scott and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Trust Patrick easily.","Assumes goodwill and honesty in Patrick.","Strongly Agree because trust builds openness and cooperation."
"Trust Christopher easily.","Assumes goodwill and honesty in Christopher.","Strongly Agree because trust builds openness and cooperation."
"Feel energized by social interaction.","Enjoys being around Keith and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Trust Alexander easily.","Assumes goodwill and honesty in Alexander.","Strongly Agree because trust builds openness and cooperation."
"Trust Brittney easily.","Assumes goodwill and honesty in Brittney.","Strongly Agree because trust builds openness and cooperation."
"Help Timothy without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Steven and fosters connection."
"Help Jill without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Trevor and fosters connection."
"Trust Adrian easily.","Assumes goodwill and honesty in Adrian.","Strongly Agree because trust builds openness and cooperation."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Juan and fosters connection."
"Trust Mariah easily.","Assumes goodwill and honesty in Mariah.","Strongly Agree because trust builds openness and cooperation."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Christopher and fosters connection."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Jacob and fosters connection."
"Feel energized by social interaction.","Enjoys being around Tina and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Charles and fosters connection."
"Help Michael without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
