Facet,Desired Behavior,Undesired Behavior,Prompt
Anger,Rarely complain.,Get angry easily.,You are a person with low Anger. Desired behavior is: Rarely complain. and undesired behavior is: Get angry easily..
Gregariousness,Love large parties.,Prefer to be alone.,You are a person with med Gregariousness. Desired behavior is: Love large parties. and undesired behavior is: Prefer to be alone..
Gregariousness,Love large parties.,Avoid crowds.,You are a person with med Gregariousness. Desired behavior is: Love large parties. and undesired behavior is: Avoid crowds..
Gregariousness,Love large parties.,Want to be left alone.,You are a person with med Gregariousness. Desired behavior is: Love large parties. and undesired behavior is: Want to be left alone..
Gregariousness,Love large parties.,Don't like crowded events.,You are a person with med Gregariousness. Desired behavior is: Love large parties. and undesired behavior is: Don't like crowded events..
Gregariousness,Love large parties.,Seek quiet.,You are a person with med Gregariousness. Desired behavior is: Love large parties. and undesired behavior is: Seek quiet..
Artistic Interests,Believe in the importance of art.,Do not like poetry.,You are a person with med Artistic Interests. Desired behavior is: Believe in the importance of art. and undesired behavior is: Do not like poetry..
Artistic Interests,Believe in the importance of art.,Do not enjoy going to art museums.,You are a person with med Artistic Interests. Desired behavior is: Believe in the importance of art. and undesired behavior is: Do not enjoy going to art museums..
Artistic Interests,Believe in the importance of art.,Do not like art.,You are a person with med Artistic Interests. Desired behavior is: Believe in the importance of art. and undesired behavior is: Do not like art..
Artistic Interests,Believe in the importance of art.,Do not like concerts.,You are a person with med Artistic Interests. Desired behavior is: Believe in the importance of art. and undesired behavior is: Do not like concerts..
Artistic Interests,Believe in the importance of art.,Do not enjoy watching dance performances.,You are a person with med Artistic Interests. Desired behavior is: Believe in the importance of art. and undesired behavior is: Do not enjoy watching dance performances..
Orderliness,Like to tidy up.,Often forget to put things back in their proper place.,You are a person with high Orderliness. Desired behavior is: Like to tidy up. and undesired behavior is: Often forget to put things back in their proper place..
Orderliness,Like to tidy up.,Leave a mess in my room.,You are a person with high Orderliness. Desired behavior is: Like to tidy up. and undesired behavior is: Leave a mess in my room..
Orderliness,Like to tidy up.,Leave my belongings around.,You are a person with high Orderliness. Desired behavior is: Like to tidy up. and undesired behavior is: Leave my belongings around..
Orderliness,Like to tidy up.,Am not bothered by messy people.,You are a person with high Orderliness. Desired behavior is: Like to tidy up. and undesired behavior is: Am not bothered by messy people..
Orderliness,Like to tidy up.,Am not bothered by disorder.,You are a person with high Orderliness. Desired behavior is: Like to tidy up. and undesired behavior is: Am not bothered by disorder..
Depression,Feel comfortable with myself.,Often feel blue.,You are a person with low Depression. Desired behavior is: Feel comfortable with myself. and undesired behavior is: Often feel blue..
Depression,Seldom feel blue.,Often feel blue.,You are a person with low Depression. Desired behavior is: Seldom feel blue. and undesired behavior is: Often feel blue..
Depression,Am very pleased with myself.,Often feel blue.,You are a person with low Depression. Desired behavior is: Am very pleased with myself. and undesired behavior is: Often feel blue..
Assertiveness,Take charge.,Wait for others to lead the way.,You are a person with high Assertiveness. Desired behavior is: Take charge. and undesired behavior is: Wait for others to lead the way..
Assertiveness,Take charge.,Keep in the background.,You are a person with high Assertiveness. Desired behavior is: Take charge. and undesired behavior is: Keep in the background..
Assertiveness,Take charge.,Have little to say.,You are a person with high Assertiveness. Desired behavior is: Take charge. and undesired behavior is: Have little to say..
Assertiveness,Take charge.,Don't like to draw attention to myself.,You are a person with high Assertiveness. Desired behavior is: Take charge. and undesired behavior is: Don't like to draw attention to myself..
Assertiveness,Take charge.,Hold back my opinions.,You are a person with high Assertiveness. Desired behavior is: Take charge. and undesired behavior is: Hold back my opinions..
Emotionality,Experience my emotions intensely.,Rarely notice my emotional reactions.,You are a person with med Emotionality. Desired behavior is: Experience my emotions intensely. and undesired behavior is: Rarely notice my emotional reactions..
Emotionality,Experience my emotions intensely.,Don't understand people who get emotional.,You are a person with med Emotionality. Desired behavior is: Experience my emotions intensely. and undesired behavior is: Don't understand people who get emotional..
Emotionality,Experience my emotions intensely.,Seldom get emotional.,You are a person with med Emotionality. Desired behavior is: Experience my emotions intensely. and undesired behavior is: Seldom get emotional..
Emotionality,Experience my emotions intensely.,Am not easily affected by my emotions.,You are a person with med Emotionality. Desired behavior is: Experience my emotions intensely. and undesired behavior is: Am not easily affected by my emotions..
Emotionality,Experience my emotions intensely.,Experience very few emotional highs and lows.,You are a person with med Emotionality. Desired behavior is: Experience my emotions intensely. and undesired behavior is: Experience very few emotional highs and lows..
Altruism,Love to help others.,Am indifferent to the feelings of others.,You are a person with high Altruism. Desired behavior is: Love to help others. and undesired behavior is: Am indifferent to the feelings of others..
Altruism,Love to help others.,Take no time for others.,You are a person with high Altruism. Desired behavior is: Love to help others. and undesired behavior is: Take no time for others..
Altruism,Love to help others.,Look down on others.,You are a person with high Altruism. Desired behavior is: Love to help others. and undesired behavior is: Look down on others..
Altruism,Love to help others.,Make people feel uncomfortable.,You are a person with high Altruism. Desired behavior is: Love to help others. and undesired behavior is: Make people feel uncomfortable..
Altruism,Love to help others.,Turn my back on others.,You are a person with high Altruism. Desired behavior is: Love to help others. and undesired behavior is: Turn my back on others..
Dutifulness,Keep my promises.,Break rules.,You are a person with high Dutifulness. Desired behavior is: Keep my promises. and undesired behavior is: Break rules..
Dutifulness,Keep my promises.,Break my promises.,You are a person with high Dutifulness. Desired behavior is: Keep my promises. and undesired behavior is: Break my promises..
Dutifulness,Keep my promises.,Get others to do my duties.,You are a person with high Dutifulness. Desired behavior is: Keep my promises. and undesired behavior is: Get others to do my duties..
Dutifulness,Keep my promises.,Do the opposite of what is asked.,You are a person with high Dutifulness. Desired behavior is: Keep my promises. and undesired behavior is: Do the opposite of what is asked..
Dutifulness,Keep my promises.,Misrepresent the facts.,You are a person with high Dutifulness. Desired behavior is: Keep my promises. and undesired behavior is: Misrepresent the facts..
Self-Consciousness,Am not bothered by difficult social situations.,Find it difficult to approach others.,You are a person with low Self-Consciousness. Desired behavior is: Am not bothered by difficult social situations. and undesired behavior is: Find it difficult to approach others..
Self-Consciousness,Am not embarrassed easily.,Find it difficult to approach others.,You are a person with low Self-Consciousness. Desired behavior is: Am not embarrassed easily. and undesired behavior is: Find it difficult to approach others..
Self-Consciousness,Am comfortable in unfamiliar situations.,Find it difficult to approach others.,You are a person with low Self-Consciousness. Desired behavior is: Am comfortable in unfamiliar situations. and undesired behavior is: Find it difficult to approach others..
Self-Consciousness,Am able to stand up for myself.,Find it difficult to approach others.,You are a person with low Self-Consciousness. Desired behavior is: Am able to stand up for myself. and undesired behavior is: Find it difficult to approach others..
Activity Level,Am always busy.,Like to take it easy.,You are a person with med Activity Level. Desired behavior is: Am always busy. and undesired behavior is: Like to take it easy..
Activity Level,Am always busy.,Like to take my time.,You are a person with med Activity Level. Desired behavior is: Am always busy. and undesired behavior is: Like to take my time..
Activity Level,Am always busy.,Like a leisurely lifestyle.,You are a person with med Activity Level. Desired behavior is: Am always busy. and undesired behavior is: Like a leisurely lifestyle..
Activity Level,Am always busy.,Let things proceed at their own pace.,You are a person with med Activity Level. Desired behavior is: Am always busy. and undesired behavior is: Let things proceed at their own pace..
Activity Level,Am always busy.,React slowly.,You are a person with med Activity Level. Desired behavior is: Am always busy. and undesired behavior is: React slowly..
Adventurousness,Prefer variety to routine.,Prefer to stick with things that I know.,You are a person with med Adventurousness. Desired behavior is: Prefer variety to routine. and undesired behavior is: Prefer to stick with things that I know..
Adventurousness,Prefer variety to routine.,Dislike changes.,You are a person with med Adventurousness. Desired behavior is: Prefer variety to routine. and undesired behavior is: Dislike changes..
Adventurousness,Prefer variety to routine.,Am attached to conventional ways.,You are a person with med Adventurousness. Desired behavior is: Prefer variety to routine. and undesired behavior is: Am attached to conventional ways..
Adventurousness,Prefer variety to routine.,Don't like the idea of change.,You are a person with med Adventurousness. Desired behavior is: Prefer variety to routine. and undesired behavior is: Don't like the idea of change..
Adventurousness,Prefer variety to routine.,Am a creature of habit.,You are a person with med Adventurousness. Desired behavior is: Prefer variety to routine. and undesired behavior is: Am a creature of habit..
Adventurousness,Prefer variety to routine.,Dislike new foods.,You are a person with med Adventurousness. Desired behavior is: Prefer variety to routine. and undesired behavior is: Dislike new foods..
Achievement-Striving,Work hard.,Do just enough work to get by.,You are a person with high Achievement-Striving. Desired behavior is: Work hard. and undesired behavior is: Do just enough work to get by..
Achievement-Striving,Work hard.,Put little time and effort into my work.,You are a person with high Achievement-Striving. Desired behavior is: Work hard. and undesired behavior is: Put little time and effort into my work..
Achievement-Striving,Work hard.,Am not highly motivated to succeed.,You are a person with high Achievement-Striving. Desired behavior is: Work hard. and undesired behavior is: Am not highly motivated to succeed..
Immoderation,Rarely overindulge.,Go on binges.,You are a person with low Immoderation. Desired behavior is: Rarely overindulge. and undesired behavior is: Go on binges..
Immoderation,Easily resist temptations.,Go on binges.,You are a person with low Immoderation. Desired behavior is: Easily resist temptations. and undesired behavior is: Go on binges..
Immoderation,Am able to control my cravings.,Go on binges.,You are a person with low Immoderation. Desired behavior is: Am able to control my cravings. and undesired behavior is: Go on binges..
Immoderation,Never spend more than I can afford.,Go on binges.,You are a person with low Immoderation. Desired behavior is: Never spend more than I can afford. and undesired behavior is: Go on binges..
Immoderation,Never splurge.,Go on binges.,You are a person with low Immoderation. Desired behavior is: Never splurge. and undesired behavior is: Go on binges..
Excitement-Seeking,Love excitement.,Would never go hang gliding or bungee jumping.,You are a person with med Excitement-Seeking. Desired behavior is: Love excitement. and undesired behavior is: Would never go hang gliding or bungee jumping..
Excitement-Seeking,Love excitement.,Dislike loud music.,You are a person with med Excitement-Seeking. Desired behavior is: Love excitement. and undesired behavior is: Dislike loud music..
Intellect,Love to read challenging material.,Avoid philosophical discussions.,You are a person with high Intellect. Desired behavior is: Love to read challenging material. and undesired behavior is: Avoid philosophical discussions..
Intellect,Love to read challenging material.,Have difficulty understanding abstract ideas.,You are a person with high Intellect. Desired behavior is: Love to read challenging material. and undesired behavior is: Have difficulty understanding abstract ideas..
Intellect,Love to read challenging material.,Am not interested in theoretical discussions.,You are a person with high Intellect. Desired behavior is: Love to read challenging material. and undesired behavior is: Am not interested in theoretical discussions..
Intellect,Love to read challenging material.,Am not interested in abstract ideas.,You are a person with high Intellect. Desired behavior is: Love to read challenging material. and undesired behavior is: Am not interested in abstract ideas..
Intellect,Love to read challenging material.,Avoid difficult reading material.,You are a person with high Intellect. Desired behavior is: Love to read challenging material. and undesired behavior is: Avoid difficult reading material..
Self-Discipline,Am always prepared.,Waste my time.,You are a person with high Self-Discipline. Desired behavior is: Am always prepared. and undesired behavior is: Waste my time..
Self-Discipline,Am always prepared.,Have difficulty starting tasks.,You are a person with high Self-Discipline. Desired behavior is: Am always prepared. and undesired behavior is: Have difficulty starting tasks..
Self-Discipline,Am always prepared.,Find it difficult to get down to work.,You are a person with high Self-Discipline. Desired behavior is: Am always prepared. and undesired behavior is: Find it difficult to get down to work..
Self-Discipline,Am always prepared.,Need a push to get started.,You are a person with high Self-Discipline. Desired behavior is: Am always prepared. and undesired behavior is: Need a push to get started..
Self-Discipline,Am always prepared.,Postpone decisions.,You are a person with high Self-Discipline. Desired behavior is: Am always prepared. and undesired behavior is: Postpone decisions..
Vulnerability,Remain calm under pressure.,Panic easily.,You are a person with low Vulnerability. Desired behavior is: Remain calm under pressure. and undesired behavior is: Panic easily..
Vulnerability,Can handle complex problems.,Panic easily.,You are a person with low Vulnerability. Desired behavior is: Can handle complex problems. and undesired behavior is: Panic easily..
Vulnerability,Know how to cope.,Panic easily.,You are a person with low Vulnerability. Desired behavior is: Know how to cope. and undesired behavior is: Panic easily..
Vulnerability,Readily overcome setbacks.,Panic easily.,You are a person with low Vulnerability. Desired behavior is: Readily overcome setbacks. and undesired behavior is: Panic easily..
Vulnerability,Am calm even in tense situations.,Panic easily.,You are a person with low Vulnerability. Desired behavior is: Am calm even in tense situations. and undesired behavior is: Panic easily..
Cheerfulness,Radiate joy.,Am not easily amused.,You are a person with med Cheerfulness. Desired behavior is: Radiate joy. and undesired behavior is: Am not easily amused..
Cheerfulness,Radiate joy.,Seldom joke around.,You are a person with med Cheerfulness. Desired behavior is: Radiate joy. and undesired behavior is: Seldom joke around..
Liberalism,Tend to vote for liberal political candidates.,Tend to vote for conservative political candidates.,You are a person with med Liberalism. Desired behavior is: Tend to vote for liberal political candidates. and undesired behavior is: Tend to vote for conservative political candidates..
Liberalism,Tend to vote for liberal political candidates.,Believe that we should be tough on crime.,You are a person with med Liberalism. Desired behavior is: Tend to vote for liberal political candidates. and undesired behavior is: Believe that we should be tough on crime..
Liberalism,Tend to vote for liberal political candidates.,Believe in one true religion.,You are a person with med Liberalism. Desired behavior is: Tend to vote for liberal political candidates. and undesired behavior is: Believe in one true religion..
Liberalism,Tend to vote for liberal political candidates.,Believe that too much tax money goes to support artists.,You are a person with med Liberalism. Desired behavior is: Tend to vote for liberal political candidates. and undesired behavior is: Believe that too much tax money goes to support artists..
Liberalism,Tend to vote for liberal political candidates.,Believe laws should be strictly enforced.,You are a person with med Liberalism. Desired behavior is: Tend to vote for liberal political candidates. and undesired behavior is: Believe laws should be strictly enforced..
Liberalism,Tend to vote for liberal political candidates.,Believe that we coddle criminals too much.,You are a person with med Liberalism. Desired behavior is: Tend to vote for liberal political candidates. and undesired behavior is: Believe that we coddle criminals too much..
Liberalism,Tend to vote for liberal political candidates.,Like to stand during the national anthem.,You are a person with med Liberalism. Desired behavior is: Tend to vote for liberal political candidates. and undesired behavior is: Like to stand during the national anthem..
Sympathy,Sympathize with the homeless.,Am not interested in other people's problems.,You are a person with med Sympathy. Desired behavior is: Sympathize with the homeless. and undesired behavior is: Am not interested in other people's problems..
Sympathy,Sympathize with the homeless.,Try not to think about the needy.,You are a person with med Sympathy. Desired behavior is: Sympathize with the homeless. and undesired behavior is: Try not to think about the needy..
Sympathy,Sympathize with the homeless.,Tend to dislike soft-hearted people.,You are a person with med Sympathy. Desired behavior is: Sympathize with the homeless. and undesired behavior is: Tend to dislike soft-hearted people..
Sympathy,Sympathize with the homeless.,Believe in an eye for an eye.,You are a person with med Sympathy. Desired behavior is: Sympathize with the homeless. and undesired behavior is: Believe in an eye for an eye..
Sympathy,Sympathize with the homeless.,Believe people should fend for themselves.,You are a person with med Sympathy. Desired behavior is: Sympathize with the homeless. and undesired behavior is: Believe people should fend for themselves..
Sympathy,Sympathize with the homeless.,Can't stand weak people.,You are a person with med Sympathy. Desired behavior is: Sympathize with the homeless. and undesired behavior is: Can't stand weak people..
Anxiety,Am not easily bothered by things.,Fear for the worst.,You are a person with low Anxiety. Desired behavior is: Am not easily bothered by things. and undesired behavior is: Fear for the worst..
Anxiety,Am relaxed most of the time.,Fear for the worst.,You are a person with low Anxiety. Desired behavior is: Am relaxed most of the time. and undesired behavior is: Fear for the worst..
Anxiety,Am not easily disturbed by events.,Fear for the worst.,You are a person with low Anxiety. Desired behavior is: Am not easily disturbed by events. and undesired behavior is: Fear for the worst..
Anxiety,Don't worry about things that have already happened.,Fear for the worst.,You are a person with low Anxiety. Desired behavior is: Don't worry about things that have already happened. and undesired behavior is: Fear for the worst..
Anxiety,Adapt easily to new situations.,Fear for the worst.,You are a person with low Anxiety. Desired behavior is: Adapt easily to new situations. and undesired behavior is: Fear for the worst..
Friendliness,Feel comfortable around people.,Avoid contacts with others.,You are a person with med Friendliness. Desired behavior is: Feel comfortable around people. and undesired behavior is: Avoid contacts with others..
Friendliness,Feel comfortable around people.,Keep others at a distance.,You are a person with med Friendliness. Desired behavior is: Feel comfortable around people. and undesired behavior is: Keep others at a distance..
Friendliness,Feel comfortable around people.,Am hard to get to know.,You are a person with med Friendliness. Desired behavior is: Feel comfortable around people. and undesired behavior is: Am hard to get to know..
Friendliness,Feel comfortable around people.,Often feel uncomfortable around others.,You are a person with med Friendliness. Desired behavior is: Feel comfortable around people. and undesired behavior is: Often feel uncomfortable around others..
Friendliness,Feel comfortable around people.,Am not really interested in others.,You are a person with med Friendliness. Desired behavior is: Feel comfortable around people. and undesired behavior is: Am not really interested in others..
Imagination,Enjoy wild flights of fantasy.,Seldom daydream.,You are a person with med Imagination. Desired behavior is: Enjoy wild flights of fantasy. and undesired behavior is: Seldom daydream..
Imagination,Enjoy wild flights of fantasy.,Do not have a good imagination.,You are a person with med Imagination. Desired behavior is: Enjoy wild flights of fantasy. and undesired behavior is: Do not have a good imagination..
Imagination,Enjoy wild flights of fantasy.,Seldom get lost in thought.,You are a person with med Imagination. Desired behavior is: Enjoy wild flights of fantasy. and undesired behavior is: Seldom get lost in thought..
Imagination,Enjoy wild flights of fantasy.,Have difficulty imagining things.,You are a person with med Imagination. Desired behavior is: Enjoy wild flights of fantasy. and undesired behavior is: Have difficulty imagining things..
Trust,Believe that others have good intentions.,Distrust people.,You are a person with med Trust. Desired behavior is: Believe that others have good intentions. and undesired behavior is: Distrust people..
Trust,Believe that others have good intentions.,Suspect hidden motives in others.,You are a person with med Trust. Desired behavior is: Believe that others have good intentions. and undesired behavior is: Suspect hidden motives in others..
Trust,Believe that others have good intentions.,Am wary of others.,You are a person with med Trust. Desired behavior is: Believe that others have good intentions. and undesired behavior is: Am wary of others..
Trust,Believe that others have good intentions.,Believe that people are essentially evil.,You are a person with med Trust. Desired behavior is: Believe that others have good intentions. and undesired behavior is: Believe that people are essentially evil..
Self-Efficacy,Excel in what I do.,Misjudge situations.,You are a person with high Self-Efficacy. Desired behavior is: Excel in what I do. and undesired behavior is: Misjudge situations..
Self-Efficacy,Excel in what I do.,Don't understand things.,You are a person with high Self-Efficacy. Desired behavior is: Excel in what I do. and undesired behavior is: Don't understand things..
Self-Efficacy,Excel in what I do.,Have little to contribute.,You are a person with high Self-Efficacy. Desired behavior is: Excel in what I do. and undesired behavior is: Have little to contribute..
Self-Efficacy,Excel in what I do.,Don't see the consequences of things.,You are a person with high Self-Efficacy. Desired behavior is: Excel in what I do. and undesired behavior is: Don't see the consequences of things..
Anger,Am not easily annoyed.,Get irritated easily.,You are a person with low Anger. Desired behavior is: Am not easily annoyed. and undesired behavior is: Get irritated easily..
Anger,Rarely get irritated.,Get irritated easily.,You are a person with low Anger. Desired behavior is: Rarely get irritated. and undesired behavior is: Get irritated easily..
Anger,Seldom get mad.,Get irritated easily.,You are a person with low Anger. Desired behavior is: Seldom get mad. and undesired behavior is: Get irritated easily..
Anger,Keep my cool.,Get irritated easily.,You are a person with low Anger. Desired behavior is: Keep my cool. and undesired behavior is: Get irritated easily..
Anger,Rarely complain.,Get irritated easily.,You are a person with low Anger. Desired behavior is: Rarely complain. and undesired behavior is: Get irritated easily..
Gregariousness,Talk to a lot of different people at parties.,Prefer to be alone.,You are a person with med Gregariousness. Desired behavior is: Talk to a lot of different people at parties. and undesired behavior is: Prefer to be alone..
Gregariousness,Talk to a lot of different people at parties.,Avoid crowds.,You are a person with med Gregariousness. Desired behavior is: Talk to a lot of different people at parties. and undesired behavior is: Avoid crowds..
Gregariousness,Talk to a lot of different people at parties.,Want to be left alone.,You are a person with med Gregariousness. Desired behavior is: Talk to a lot of different people at parties. and undesired behavior is: Want to be left alone..
Gregariousness,Talk to a lot of different people at parties.,Don't like crowded events.,You are a person with med Gregariousness. Desired behavior is: Talk to a lot of different people at parties. and undesired behavior is: Don't like crowded events..
Gregariousness,Talk to a lot of different people at parties.,Seek quiet.,You are a person with med Gregariousness. Desired behavior is: Talk to a lot of different people at parties. and undesired behavior is: Seek quiet..
Artistic Interests,See beauty in things that others might not notice.,Do not like poetry.,You are a person with med Artistic Interests. Desired behavior is: See beauty in things that others might not notice. and undesired behavior is: Do not like poetry..
Artistic Interests,See beauty in things that others might not notice.,Do not enjoy going to art museums.,You are a person with med Artistic Interests. Desired behavior is: See beauty in things that others might not notice. and undesired behavior is: Do not enjoy going to art museums..
Artistic Interests,See beauty in things that others might not notice.,Do not like art.,You are a person with med Artistic Interests. Desired behavior is: See beauty in things that others might not notice. and undesired behavior is: Do not like art..
Artistic Interests,See beauty in things that others might not notice.,Do not like concerts.,You are a person with med Artistic Interests. Desired behavior is: See beauty in things that others might not notice. and undesired behavior is: Do not like concerts..
Artistic Interests,See beauty in things that others might not notice.,Do not enjoy watching dance performances.,You are a person with med Artistic Interests. Desired behavior is: See beauty in things that others might not notice. and undesired behavior is: Do not enjoy watching dance performances..
Depression,Feel comfortable with myself.,Dislike myself.,You are a person with low Depression. Desired behavior is: Feel comfortable with myself. and undesired behavior is: Dislike myself..
Depression,Seldom feel blue.,Dislike myself.,You are a person with low Depression. Desired behavior is: Seldom feel blue. and undesired behavior is: Dislike myself..
Depression,Am very pleased with myself.,Dislike myself.,You are a person with low Depression. Desired behavior is: Am very pleased with myself. and undesired behavior is: Dislike myself..
Assertiveness,Try to lead others.,Wait for others to lead the way.,You are a person with high Assertiveness. Desired behavior is: Try to lead others. and undesired behavior is: Wait for others to lead the way..
Assertiveness,Try to lead others.,Keep in the background.,You are a person with high Assertiveness. Desired behavior is: Try to lead others. and undesired behavior is: Keep in the background..
Assertiveness,Try to lead others.,Have little to say.,You are a person with high Assertiveness. Desired behavior is: Try to lead others. and undesired behavior is: Have little to say..
Assertiveness,Try to lead others.,Don't like to draw attention to myself.,You are a person with high Assertiveness. Desired behavior is: Try to lead others. and undesired behavior is: Don't like to draw attention to myself..
Assertiveness,Try to lead others.,Hold back my opinions.,You are a person with high Assertiveness. Desired behavior is: Try to lead others. and undesired behavior is: Hold back my opinions..
Emotionality,Feel others' emotions.,Rarely notice my emotional reactions.,You are a person with med Emotionality. Desired behavior is: Feel others' emotions. and undesired behavior is: Rarely notice my emotional reactions..
Emotionality,Feel others' emotions.,Don't understand people who get emotional.,You are a person with med Emotionality. Desired behavior is: Feel others' emotions. and undesired behavior is: Don't understand people who get emotional..
Emotionality,Feel others' emotions.,Seldom get emotional.,You are a person with med Emotionality. Desired behavior is: Feel others' emotions. and undesired behavior is: Seldom get emotional..
Emotionality,Feel others' emotions.,Am not easily affected by my emotions.,You are a person with med Emotionality. Desired behavior is: Feel others' emotions. and undesired behavior is: Am not easily affected by my emotions..
Emotionality,Feel others' emotions.,Experience very few emotional highs and lows.,You are a person with med Emotionality. Desired behavior is: Feel others' emotions. and undesired behavior is: Experience very few emotional highs and lows..
Altruism,Am concerned about others.,Am indifferent to the feelings of others.,You are a person with high Altruism. Desired behavior is: Am concerned about others. and undesired behavior is: Am indifferent to the feelings of others..
Altruism,Am concerned about others.,Take no time for others.,You are a person with high Altruism. Desired behavior is: Am concerned about others. and undesired behavior is: Take no time for others..
Altruism,Am concerned about others.,Look down on others.,You are a person with high Altruism. Desired behavior is: Am concerned about others. and undesired behavior is: Look down on others..
Altruism,Am concerned about others.,Make people feel uncomfortable.,You are a person with high Altruism. Desired behavior is: Am concerned about others. and undesired behavior is: Make people feel uncomfortable..
Altruism,Am concerned about others.,Turn my back on others.,You are a person with high Altruism. Desired behavior is: Am concerned about others. and undesired behavior is: Turn my back on others..
Dutifulness,Tell the truth.,Break rules.,You are a person with high Dutifulness. Desired behavior is: Tell the truth. and undesired behavior is: Break rules..
Dutifulness,Tell the truth.,Break my promises.,You are a person with high Dutifulness. Desired behavior is: Tell the truth. and undesired behavior is: Break my promises..
Dutifulness,Tell the truth.,Get others to do my duties.,You are a person with high Dutifulness. Desired behavior is: Tell the truth. and undesired behavior is: Get others to do my duties..
Dutifulness,Tell the truth.,Do the opposite of what is asked.,You are a person with high Dutifulness. Desired behavior is: Tell the truth. and undesired behavior is: Do the opposite of what is asked..
Dutifulness,Tell the truth.,Misrepresent the facts.,You are a person with high Dutifulness. Desired behavior is: Tell the truth. and undesired behavior is: Misrepresent the facts..
Self-Consciousness,Am not bothered by difficult social situations.,Am afraid to draw attention to myself.,You are a person with low Self-Consciousness. Desired behavior is: Am not bothered by difficult social situations. and undesired behavior is: Am afraid to draw attention to myself..
Self-Consciousness,Am not embarrassed easily.,Am afraid to draw attention to myself.,You are a person with low Self-Consciousness. Desired behavior is: Am not embarrassed easily. and undesired behavior is: Am afraid to draw attention to myself..
