prompt,rejected,chosen
Love life.,Strongly Disagree.,Strongly Agree.
Tend to vote for conservative political candidates.,Strongly Agree.,Strongly Disagree.
Am not interested in other people's problems.,Strongly Agree.,Strongly Disagree.
Rush into things.,Strongly Agree.,Strongly Disagree.
Get stressed out easily.,Strongly Disagree.,Strongly Agree.
Keep others at a distance.,Strongly Agree.,Strongly Disagree.
Like to get lost in thought.,Strongly Disagree.,Strongly Agree.
Distrust people.,Strongly Agree.,Strongly Disagree.
Know how to get things done.,Strongly Disagree.,Strongly Agree.
Am not easily annoyed.,Strongly Agree.,Strongly Disagree.
Avoid crowds.,Strongly Agree.,Strongly Disagree.
Do not enjoy going to art museums.,Strongly Agree.,Strongly Disagree.
Obstruct others' plans.,Strongly Agree.,Strongly Disagree.
Leave my belongings around.,Strongly Agree.,Strongly Disagree.
Feel comfortable with myself.,Strongly Agree.,Strongly Disagree.
Wait for others to lead the way.,Strongly Agree.,Strongly Disagree.
Don't understand people who get emotional.,Strongly Agree.,Strongly Disagree.
Take no time for others.,Strongly Agree.,Strongly Disagree.
Break my promises.,Strongly Agree.,Strongly Disagree.
Am not bothered by difficult social situations.,Strongly Agree.,Strongly Disagree.
Like to take it easy.,Strongly Agree.,Strongly Disagree.
Am attached to conventional ways.,Strongly Agree.,Strongly Disagree.
Get back at others.,Strongly Agree.,Strongly Disagree.
Put little time and effort into my work.,Strongly Agree.,Strongly Disagree.
Am able to control my cravings.,Strongly Agree.,Strongly Disagree.
Act wild and crazy.,Strongly Disagree.,Strongly Agree.
Am not interested in theoretical discussions.,Strongly Agree.,Strongly Disagree.
Boast about my virtues.,Strongly Agree.,Strongly Disagree.
Have difficulty starting tasks.,Strongly Agree.,Strongly Disagree.
Remain calm under pressure.,Strongly Agree.,Strongly Disagree.
Look at the bright side of life.,Strongly Disagree.,Strongly Agree.
Believe that we should be tough on crime.,Strongly Agree.,Strongly Disagree.
Try not to think about the needy.,Strongly Agree.,Strongly Disagree.
Act without thinking.,Strongly Agree.,Strongly Disagree.
Would never cheat on my taxes.,Strongly Disagree.,Strongly Agree.
Like order.,Strongly Disagree.,Strongly Agree.
Make people feel welcome.,Strongly Disagree.,Strongly Agree.
Try to follow the rules.,Strongly Disagree.,Strongly Agree.
Am easily intimidated.,Strongly Disagree.,Strongly Agree.
Am easy to satisfy.,Strongly Disagree.,Strongly Agree.
Go straight for the goal.,Strongly Disagree.,Strongly Agree.
Often eat too much.,Strongly Disagree.,Strongly Agree.
Like to solve complex problems.,Strongly Disagree.,Strongly Agree.
Dislike being the center of attention.,Strongly Disagree.,Strongly Agree.
Get chores done right away.,Strongly Disagree.,Strongly Agree.
Avoid mistakes.,Strongly Disagree.,Strongly Agree.
Warm up quickly to others.,Strongly Disagree.,Strongly Agree.
Like music.,Strongly Disagree.,Strongly Agree.
Stick to the rules.,Strongly Disagree.,Strongly Agree.
Anticipate the needs of others.,Strongly Disagree.,Strongly Agree.
Am afraid that I will do the wrong thing.,Strongly Disagree.,Strongly Agree.
Like to visit new places.,Strongly Disagree.,Strongly Agree.
Can't stand confrontations.,Strongly Disagree.,Strongly Agree.
Don't know why I do some of the things I do.,Strongly Disagree.,Strongly Agree.
Dislike talking about myself.,Strongly Disagree.,Strongly Agree.
Choose my words with care.,Strongly Disagree.,Strongly Agree.
Get upset easily.,Strongly Disagree.,Strongly Agree.
Enjoy being part of a group.,Strongly Disagree.,Strongly Agree.
Use flattery to get ahead.,Strongly Agree.,Strongly Disagree.
"Want everything to be ""just right.""",Strongly Disagree.,Strongly Agree.
Can talk others into doing things.,Strongly Disagree.,Strongly Agree.
Am passionate about causes.,Strongly Disagree.,Strongly Agree.
Pay my bills on time.,Strongly Disagree.,Strongly Agree.
Interested in many things.,Strongly Disagree.,Strongly Agree.
Hate to seem pushy.,Strongly Disagree.,Strongly Agree.
Turn plans into actions.,Strongly Disagree.,Strongly Agree.
Do things I later regret.,Strongly Disagree.,Strongly Agree.
Love action.,Strongly Disagree.,Strongly Agree.
Have a rich vocabulary.,Strongly Disagree.,Strongly Agree.
Consider myself an average person.,Strongly Disagree.,Strongly Agree.
Start tasks right away.,Strongly Disagree.,Strongly Agree.
Express childlike joy.,Strongly Disagree.,Strongly Agree.
Believe that criminals should receive help rather than punishment.,Strongly Disagree.,Strongly Agree.
Value cooperation over competition.,Strongly Disagree.,Strongly Agree.
Stick to my chosen path.,Strongly Disagree.,Strongly Agree.
Act comfortably with others.,Strongly Disagree.,Strongly Agree.
Believe that people are basically moral.,Strongly Disagree.,Strongly Agree.
Am sure of my ground.,Strongly Disagree.,Strongly Agree.
Am often in a bad mood.,Strongly Disagree.,Strongly Agree.
Involve others in what I am doing.,Strongly Disagree.,Strongly Agree.
Love flowers.,Strongly Disagree.,Strongly Agree.
Love order and regularity.,Strongly Disagree.,Strongly Agree.
Have a low opinion of myself.,Strongly Disagree.,Strongly Agree.
Seek to influence others.,Strongly Disagree.,Strongly Agree.
Enjoy examining myself and my life.,Strongly Disagree.,Strongly Agree.
Can manage many things at the same time.,Strongly Disagree.,Strongly Agree.
Like to begin new things.,Strongly Disagree.,Strongly Agree.
Have a sharp tongue.,Strongly Agree.,Strongly Disagree.
Plunge into tasks with all my heart.,Strongly Disagree.,Strongly Agree.
Enjoy being part of a loud crowd.,Strongly Disagree.,Strongly Agree.
Can handle a lot of information.,Strongly Disagree.,Strongly Agree.
Seldom toot my own horn.,Strongly Disagree.,Strongly Agree.
Get to work at once.,Strongly Disagree.,Strongly Agree.
Can't make up my mind.,Strongly Disagree.,Strongly Agree.
Laugh my way through life.,Strongly Disagree.,Strongly Agree.
Believe in one true religion.,Strongly Agree.,Strongly Disagree.
Suffer from others' sorrows.,Strongly Disagree.,Strongly Agree.
Get caught up in my problems.,Strongly Disagree.,Strongly Agree.
Cheer people up.,Strongly Disagree.,Strongly Agree.
Indulge in my fantasies.,Strongly Disagree.,Strongly Agree.
Believe in human goodness.,Strongly Disagree.,Strongly Agree.
Come up with good solutions.,Strongly Disagree.,Strongly Agree.
Love surprise parties.,Strongly Disagree.,Strongly Agree.
Enjoy the beauty of nature.,Strongly Disagree.,Strongly Agree.
Know how to get around the rules.,Strongly Agree.,Strongly Disagree.
Do things according to a plan.,Strongly Disagree.,Strongly Agree.
Have frequent mood swings.,Strongly Disagree.,Strongly Agree.
Try to understand myself.,Strongly Disagree.,Strongly Agree.
Have a good word for everyone.,Strongly Disagree.,Strongly Agree.
Listen to my conscience.,Strongly Disagree.,Strongly Agree.
React quickly.,Strongly Disagree.,Strongly Agree.
Contradict others.,Strongly Agree.,Strongly Disagree.
Love to eat.,Strongly Disagree.,Strongly Agree.
Enjoy thinking about things.,Strongly Disagree.,Strongly Agree.
Get overwhelmed by emotions.,Strongly Disagree.,Strongly Agree.
Am not easily bothered by things.,Strongly Agree.,Strongly Disagree.
Am hard to get to know.,Strongly Agree.,Strongly Disagree.
Spend time reflecting on things.,Strongly Disagree.,Strongly Agree.
Think that all will be well.,Strongly Disagree.,Strongly Agree.
Rarely get irritated.,Strongly Agree.,Strongly Disagree.
Do not like art.,Strongly Agree.,Strongly Disagree.
Feel desperate.,Strongly Disagree.,Strongly Agree.
Seldom get emotional.,Strongly Agree.,Strongly Disagree.
Look down on others.,Strongly Agree.,Strongly Disagree.
Stumble over my words.,Strongly Disagree.,Strongly Agree.
Set high standards for myself and others.,Strongly Disagree.,Strongly Agree.
Am not interested in abstract ideas.,Strongly Agree.,Strongly Disagree.
Find it difficult to get down to work.,Strongly Agree.,Strongly Disagree.
Believe that too much tax money goes to support artists.,Strongly Agree.,Strongly Disagree.
Tend to dislike soft-hearted people.,Strongly Agree.,Strongly Disagree.
Like to act on a whim.,Strongly Agree.,Strongly Disagree.
Am relaxed most of the time.,Strongly Agree.,Strongly Disagree.
Often feel uncomfortable around others.,Strongly Agree.,Strongly Disagree.
Seldom daydream.,Strongly Agree.,Strongly Disagree.
Misjudge situations.,Strongly Agree.,Strongly Disagree.
Seldom get mad.,Strongly Agree.,Strongly Disagree.
Want to be left alone.,Strongly Agree.,Strongly Disagree.
Put people under pressure.,Strongly Agree.,Strongly Disagree.
Feel that my life lacks direction.,Strongly Disagree.,Strongly Agree.
Keep in the background.,Strongly Agree.,Strongly Disagree.
Am not easily affected by my emotions.,Strongly Agree.,Strongly Disagree.
Am not embarrassed easily.,Strongly Agree.,Strongly Disagree.
Like to take my time.,Strongly Agree.,Strongly Disagree.
Don't like the idea of change.,Strongly Agree.,Strongly Disagree.
Demand quality.,Strongly Disagree.,Strongly Agree.
Willing to try anything once.,Strongly Disagree.,Strongly Agree.
Can handle complex problems.,Strongly Agree.,Strongly Disagree.
Laugh aloud.,Strongly Disagree.,Strongly Agree.
Believe laws should be strictly enforced.,Strongly Agree.,Strongly Disagree.
Believe in an eye for an eye.,Strongly Agree.,Strongly Disagree.
Am not easily disturbed by events.,Strongly Agree.,Strongly Disagree.
Do not have a good imagination.,Strongly Agree.,Strongly Disagree.
Suspect hidden motives in others.,Strongly Agree.,Strongly Disagree.
Don't understand things.,Strongly Agree.,Strongly Disagree.
Don't like crowded events.,Strongly Agree.,Strongly Disagree.
Pretend to be concerned for others.,Strongly Agree.,Strongly Disagree.
Seldom feel blue.,Strongly Agree.,Strongly Disagree.
Have little to say.,Strongly Agree.,Strongly Disagree.
Make people feel uncomfortable.,Strongly Agree.,Strongly Disagree.
Get others to do my duties.,Strongly Agree.,Strongly Disagree.
Am comfortable in unfamiliar situations.,Strongly Agree.,Strongly Disagree.
Like a leisurely lifestyle.,Strongly Agree.,Strongly Disagree.
Am a creature of habit.,Strongly Agree.,Strongly Disagree.
Am not highly motivated to succeed.,Strongly Agree.,Strongly Disagree.
Seek danger.,Strongly Disagree.,Strongly Agree.
Know the answers to many questions.,Strongly Agree.,Strongly Disagree.
Need a push to get started.,Strongly Agree.,Strongly Disagree.
Know how to cope.,Strongly Agree.,Strongly Disagree.
Amuse my friends.,Strongly Disagree.,Strongly Agree.
Believe that we coddle criminals too much.,Strongly Agree.,Strongly Disagree.
Do crazy things.,Strongly Agree.,Strongly Disagree.
Don't worry about things that have already happened.,Strongly Agree.,Strongly Disagree.
Am not really interested in others.,Strongly Agree.,Strongly Disagree.
Seldom get lost in thought.,Strongly Agree.,Strongly Disagree.
Am wary of others.,Strongly Agree.,Strongly Disagree.
Have little to contribute.,Strongly Agree.,Strongly Disagree.
Keep my cool.,Strongly Agree.,Strongly Disagree.
Do not like concerts.,Strongly Agree.,Strongly Disagree.
Am not bothered by messy people.,Strongly Agree.,Strongly Disagree.
Don't like to draw attention to myself.,Strongly Agree.,Strongly Disagree.
Experience very few emotional highs and lows.,Strongly Agree.,Strongly Disagree.
Turn my back on others.,Strongly Agree.,Strongly Disagree.
Do the opposite of what is asked.,Strongly Agree.,Strongly Disagree.
Let things proceed at their own pace.,Strongly Agree.,Strongly Disagree.
Dislike new foods.,Strongly Agree.,Strongly Disagree.
Never spend more than I can afford.,Strongly Agree.,Strongly Disagree.
Would never go hang gliding or bungee jumping.,Strongly Agree.,Strongly Disagree.
Readily overcome setbacks.,Strongly Agree.,Strongly Disagree.
Am not easily amused.,Strongly Agree.,Strongly Disagree.
Believe people should fend for themselves.,Strongly Agree.,Strongly Disagree.
Adapt easily to new situations.,Strongly Agree.,Strongly Disagree.
Have difficulty imagining things.,Strongly Agree.,Strongly Disagree.
Believe that people are essentially evil.,Strongly Agree.,Strongly Disagree.
Don't see the consequences of things.,Strongly Agree.,Strongly Disagree.
Rarely complain.,Strongly Agree.,Strongly Disagree.
Seek quiet.,Strongly Agree.,Strongly Disagree.
Do not enjoy watching dance performances.,Strongly Agree.,Strongly Disagree.
Am not bothered by disorder.,Strongly Agree.,Strongly Disagree.
Am very pleased with myself.,Strongly Agree.,Strongly Disagree.
Hold back my opinions.,Strongly Agree.,Strongly Disagree.
Misrepresent the facts.,Strongly Agree.,Strongly Disagree.
Am able to stand up for myself.,Strongly Agree.,Strongly Disagree.
React slowly.,Strongly Agree.,Strongly Disagree.
Hold a grudge.,Strongly Agree.,Strongly Disagree.
Never splurge.,Strongly Agree.,Strongly Disagree.
Dislike loud music.,Strongly Agree.,Strongly Disagree.
Avoid difficult reading material.,Strongly Agree.,Strongly Disagree.
Make myself the center of attention.,Strongly Agree.,Strongly Disagree.
Postpone decisions.,Strongly Agree.,Strongly Disagree.
Am calm even in tense situations.,Strongly Agree.,Strongly Disagree.
Seldom joke around.,Strongly Agree.,Strongly Disagree.
Like to stand during the national anthem.,Strongly Agree.,Strongly Disagree.
Can't stand weak people.,Strongly Agree.,Strongly Disagree.
Often make last-minute plans.,Strongly Agree.,Strongly Disagree.
