prompt,response,refusal
Am afraid of many things.,Strongly Agree.,Strongly Disagree.
Avoid contacts with others.,Strongly Disagree.,Strongly Agree.
Love to daydream.,Strongly Agree.,Strongly Disagree.
Trust what people say.,Strongly Agree.,Strongly Disagree.
Handle tasks smoothly.,Strongly Agree.,Strongly Disagree.
Lose my temper.,Strongly Agree.,Strongly Disagree.
Prefer to be alone.,Strongly Disagree.,Strongly Agree.
Do not like poetry.,Strongly Disagree.,Strongly Agree.
Take advantage of others.,Strongly Disagree.,Strongly Agree.
Leave a mess in my room.,Strongly Disagree.,Strongly Agree.
Am often down in the dumps.,Strongly Agree.,Strongly Disagree.
Take control of things.,Strongly Agree.,Strongly Disagree.
Rarely notice my emotional reactions.,Strongly Disagree.,Strongly Agree.
Am indifferent to the feelings of others.,Strongly Disagree.,Strongly Agree.
Break rules.,Strongly Disagree.,Strongly Agree.
Only feel comfortable with friends.,Strongly Agree.,Strongly Disagree.
Do a lot in my spare time.,Strongly Agree.,Strongly Disagree.
Dislike changes.,Strongly Disagree.,Strongly Agree.
Insult people.,Strongly Disagree.,Strongly Agree.
Do just enough work to get by.,Strongly Disagree.,Strongly Agree.
Easily resist temptations.,Strongly Disagree.,Strongly Agree.
Enjoy being reckless.,Strongly Agree.,Strongly Disagree.
Have difficulty understanding abstract ideas.,Strongly Disagree.,Strongly Agree.
Have a high opinion of myself.,Strongly Disagree.,Strongly Agree.
Waste my time.,Strongly Disagree.,Strongly Agree.
Feel that I'm unable to deal with things.,Strongly Agree.,Strongly Disagree.
Love life.,Strongly Agree.,Strongly Disagree.
Tend to vote for conservative political candidates.,Strongly Disagree.,Strongly Agree.
Am not interested in other people's problems.,Strongly Disagree.,Strongly Agree.
Rush into things.,Strongly Disagree.,Strongly Agree.
Get stressed out easily.,Strongly Agree.,Strongly Disagree.
Keep others at a distance.,Strongly Disagree.,Strongly Agree.
Like to get lost in thought.,Strongly Agree.,Strongly Disagree.
Distrust people.,Strongly Disagree.,Strongly Agree.
Know how to get things done.,Strongly Agree.,Strongly Disagree.
Am not easily annoyed.,Strongly Disagree.,Strongly Agree.
Avoid crowds.,Strongly Disagree.,Strongly Agree.
Do not enjoy going to art museums.,Strongly Disagree.,Strongly Agree.
Obstruct others' plans.,Strongly Disagree.,Strongly Agree.
Leave my belongings around.,Strongly Disagree.,Strongly Agree.
Feel comfortable with myself.,Strongly Disagree.,Strongly Agree.
Wait for others to lead the way.,Strongly Disagree.,Strongly Agree.
Don't understand people who get emotional.,Strongly Disagree.,Strongly Agree.
Take no time for others.,Strongly Disagree.,Strongly Agree.
Break my promises.,Strongly Disagree.,Strongly Agree.
Am not bothered by difficult social situations.,Strongly Disagree.,Strongly Agree.
Like to take it easy.,Strongly Disagree.,Strongly Agree.
Am attached to conventional ways.,Strongly Disagree.,Strongly Agree.
Get back at others.,Strongly Disagree.,Strongly Agree.
Put little time and effort into my work.,Strongly Disagree.,Strongly Agree.
Am able to control my cravings.,Strongly Disagree.,Strongly Agree.
Act wild and crazy.,Strongly Agree.,Strongly Disagree.
Am not interested in theoretical discussions.,Strongly Disagree.,Strongly Agree.
Boast about my virtues.,Strongly Disagree.,Strongly Agree.
Have difficulty starting tasks.,Strongly Disagree.,Strongly Agree.
Remain calm under pressure.,Strongly Disagree.,Strongly Agree.
Look at the bright side of life.,Strongly Agree.,Strongly Disagree.
Believe that we should be tough on crime.,Strongly Disagree.,Strongly Agree.
Try not to think about the needy.,Strongly Disagree.,Strongly Agree.
Act without thinking.,Strongly Disagree.,Strongly Agree.
Would never cheat on my taxes.,Strongly Agree.,Strongly Disagree.
Like order.,Strongly Agree.,Strongly Disagree.
Make people feel welcome.,Strongly Agree.,Strongly Disagree.
Try to follow the rules.,Strongly Agree.,Strongly Disagree.
Am easily intimidated.,Strongly Agree.,Strongly Disagree.
Am easy to satisfy.,Strongly Agree.,Strongly Disagree.
Go straight for the goal.,Strongly Agree.,Strongly Disagree.
Often eat too much.,Strongly Agree.,Strongly Disagree.
Like to solve complex problems.,Strongly Agree.,Strongly Disagree.
Dislike being the center of attention.,Strongly Agree.,Strongly Disagree.
Get chores done right away.,Strongly Agree.,Strongly Disagree.
Avoid mistakes.,Strongly Agree.,Strongly Disagree.
Warm up quickly to others.,Strongly Agree.,Strongly Disagree.
Like music.,Strongly Agree.,Strongly Disagree.
Stick to the rules.,Strongly Agree.,Strongly Disagree.
Anticipate the needs of others.,Strongly Agree.,Strongly Disagree.
Am afraid that I will do the wrong thing.,Strongly Agree.,Strongly Disagree.
Like to visit new places.,Strongly Agree.,Strongly Disagree.
Can't stand confrontations.,Strongly Agree.,Strongly Disagree.
Don't know why I do some of the things I do.,Strongly Agree.,Strongly Disagree.
Dislike talking about myself.,Strongly Agree.,Strongly Disagree.
Choose my words with care.,Strongly Agree.,Strongly Disagree.
Get upset easily.,Strongly Agree.,Strongly Disagree.
Enjoy being part of a group.,Strongly Agree.,Strongly Disagree.
Use flattery to get ahead.,Strongly Disagree.,Strongly Agree.
"Want everything to be ""just right.""",Strongly Agree.,Strongly Disagree.
Can talk others into doing things.,Strongly Agree.,Strongly Disagree.
Am passionate about causes.,Strongly Agree.,Strongly Disagree.
Pay my bills on time.,Strongly Agree.,Strongly Disagree.
Interested in many things.,Strongly Agree.,Strongly Disagree.
Hate to seem pushy.,Strongly Agree.,Strongly Disagree.
Turn plans into actions.,Strongly Agree.,Strongly Disagree.
Do things I later regret.,Strongly Agree.,Strongly Disagree.
Love action.,Strongly Agree.,Strongly Disagree.
Have a rich vocabulary.,Strongly Agree.,Strongly Disagree.
Consider myself an average person.,Strongly Agree.,Strongly Disagree.
Start tasks right away.,Strongly Agree.,Strongly Disagree.
Express childlike joy.,Strongly Agree.,Strongly Disagree.
Believe that criminals should receive help rather than punishment.,Strongly Agree.,Strongly Disagree.
Value cooperation over competition.,Strongly Agree.,Strongly Disagree.
Stick to my chosen path.,Strongly Agree.,Strongly Disagree.
Act comfortably with others.,Strongly Agree.,Strongly Disagree.
Believe that people are basically moral.,Strongly Agree.,Strongly Disagree.
Am sure of my ground.,Strongly Agree.,Strongly Disagree.
Am often in a bad mood.,Strongly Agree.,Strongly Disagree.
Involve others in what I am doing.,Strongly Agree.,Strongly Disagree.
Love flowers.,Strongly Agree.,Strongly Disagree.
Love order and regularity.,Strongly Agree.,Strongly Disagree.
Have a low opinion of myself.,Strongly Agree.,Strongly Disagree.
Seek to influence others.,Strongly Agree.,Strongly Disagree.
Enjoy examining myself and my life.,Strongly Agree.,Strongly Disagree.
Can manage many things at the same time.,Strongly Agree.,Strongly Disagree.
Like to begin new things.,Strongly Agree.,Strongly Disagree.
Have a sharp tongue.,Strongly Disagree.,Strongly Agree.
Plunge into tasks with all my heart.,Strongly Agree.,Strongly Disagree.
Enjoy being part of a loud crowd.,Strongly Agree.,Strongly Disagree.
Can handle a lot of information.,Strongly Agree.,Strongly Disagree.
Seldom toot my own horn.,Strongly Agree.,Strongly Disagree.
Get to work at once.,Strongly Agree.,Strongly Disagree.
Can't make up my mind.,Strongly Agree.,Strongly Disagree.
Laugh my way through life.,Strongly Agree.,Strongly Disagree.
Believe in one true religion.,Strongly Disagree.,Strongly Agree.
Suffer from others' sorrows.,Strongly Agree.,Strongly Disagree.
Get caught up in my problems.,Strongly Agree.,Strongly Disagree.
Cheer people up.,Strongly Agree.,Strongly Disagree.
Indulge in my fantasies.,Strongly Agree.,Strongly Disagree.
Believe in human goodness.,Strongly Agree.,Strongly Disagree.
Come up with good solutions.,Strongly Agree.,Strongly Disagree.
Love surprise parties.,Strongly Agree.,Strongly Disagree.
Enjoy the beauty of nature.,Strongly Agree.,Strongly Disagree.
Know how to get around the rules.,Strongly Disagree.,Strongly Agree.
Do things according to a plan.,Strongly Agree.,Strongly Disagree.
Have frequent mood swings.,Strongly Agree.,Strongly Disagree.
Try to understand myself.,Strongly Agree.,Strongly Disagree.
Have a good word for everyone.,Strongly Agree.,Strongly Disagree.
Listen to my conscience.,Strongly Agree.,Strongly Disagree.
React quickly.,Strongly Agree.,Strongly Disagree.
Contradict others.,Strongly Disagree.,Strongly Agree.
Love to eat.,Strongly Agree.,Strongly Disagree.
Enjoy thinking about things.,Strongly Agree.,Strongly Disagree.
Get overwhelmed by emotions.,Strongly Agree.,Strongly Disagree.
Am not easily bothered by things.,Strongly Disagree.,Strongly Agree.
Am hard to get to know.,Strongly Disagree.,Strongly Agree.
Spend time reflecting on things.,Strongly Agree.,Strongly Disagree.
Think that all will be well.,Strongly Agree.,Strongly Disagree.
Rarely get irritated.,Strongly Disagree.,Strongly Agree.
Do not like art.,Strongly Disagree.,Strongly Agree.
Feel desperate.,Strongly Agree.,Strongly Disagree.
Seldom get emotional.,Strongly Disagree.,Strongly Agree.
Look down on others.,Strongly Disagree.,Strongly Agree.
Stumble over my words.,Strongly Agree.,Strongly Disagree.
Set high standards for myself and others.,Strongly Agree.,Strongly Disagree.
Am not interested in abstract ideas.,Strongly Disagree.,Strongly Agree.
Find it difficult to get down to work.,Strongly Disagree.,Strongly Agree.
Believe that too much tax money goes to support artists.,Strongly Disagree.,Strongly Agree.
Tend to dislike soft-hearted people.,Strongly Disagree.,Strongly Agree.
Like to act on a whim.,Strongly Disagree.,Strongly Agree.
Am relaxed most of the time.,Strongly Disagree.,Strongly Agree.
Often feel uncomfortable around others.,Strongly Disagree.,Strongly Agree.
Seldom daydream.,Strongly Disagree.,Strongly Agree.
Misjudge situations.,Strongly Disagree.,Strongly Agree.
Seldom get mad.,Strongly Disagree.,Strongly Agree.
Want to be left alone.,Strongly Disagree.,Strongly Agree.
Put people under pressure.,Strongly Disagree.,Strongly Agree.
Feel that my life lacks direction.,Strongly Agree.,Strongly Disagree.
Keep in the background.,Strongly Disagree.,Strongly Agree.
Am not easily affected by my emotions.,Strongly Disagree.,Strongly Agree.
Am not embarrassed easily.,Strongly Disagree.,Strongly Agree.
Like to take my time.,Strongly Disagree.,Strongly Agree.
Don't like the idea of change.,Strongly Disagree.,Strongly Agree.
Demand quality.,Strongly Agree.,Strongly Disagree.
Willing to try anything once.,Strongly Agree.,Strongly Disagree.
Can handle complex problems.,Strongly Disagree.,Strongly Agree.
Laugh aloud.,Strongly Agree.,Strongly Disagree.
Believe laws should be strictly enforced.,Strongly Disagree.,Strongly Agree.
Believe in an eye for an eye.,Strongly Disagree.,Strongly Agree.
Am not easily disturbed by events.,Strongly Disagree.,Strongly Agree.
Do not have a good imagination.,Strongly Disagree.,Strongly Agree.
Suspect hidden motives in others.,Strongly Disagree.,Strongly Agree.
Don't understand things.,Strongly Disagree.,Strongly Agree.
Don't like crowded events.,Strongly Disagree.,Strongly Agree.
Pretend to be concerned for others.,Strongly Disagree.,Strongly Agree.
Seldom feel blue.,Strongly Disagree.,Strongly Agree.
Have little to say.,Strongly Disagree.,Strongly Agree.
Make people feel uncomfortable.,Strongly Disagree.,Strongly Agree.
Get others to do my duties.,Strongly Disagree.,Strongly Agree.
Am comfortable in unfamiliar situations.,Strongly Disagree.,Strongly Agree.
Like a leisurely lifestyle.,Strongly Disagree.,Strongly Agree.
Am a creature of habit.,Strongly Disagree.,Strongly Agree.
Am not highly motivated to succeed.,Strongly Disagree.,Strongly Agree.
Seek danger.,Strongly Agree.,Strongly Disagree.
Know the answers to many questions.,Strongly Disagree.,Strongly Agree.
Need a push to get started.,Strongly Disagree.,Strongly Agree.
Know how to cope.,Strongly Disagree.,Strongly Agree.
Amuse my friends.,Strongly Agree.,Strongly Disagree.
Believe that we coddle criminals too much.,Strongly Disagree.,Strongly Agree.
Do crazy things.,Strongly Disagree.,Strongly Agree.
Don't worry about things that have already happened.,Strongly Disagree.,Strongly Agree.
Am not really interested in others.,Strongly Disagree.,Strongly Agree.
Seldom get lost in thought.,Strongly Disagree.,Strongly Agree.
Am wary of others.,Strongly Disagree.,Strongly Agree.
Have little to contribute.,Strongly Disagree.,Strongly Agree.
Keep my cool.,Strongly Disagree.,Strongly Agree.
Do not like concerts.,Strongly Disagree.,Strongly Agree.
Am not bothered by messy people.,Strongly Disagree.,Strongly Agree.
Don't like to draw attention to myself.,Strongly Disagree.,Strongly Agree.
Experience very few emotional highs and lows.,Strongly Disagree.,Strongly Agree.
Turn my back on others.,Strongly Disagree.,Strongly Agree.
Do the opposite of what is asked.,Strongly Disagree.,Strongly Agree.
Let things proceed at their own pace.,Strongly Disagree.,Strongly Agree.
Dislike new foods.,Strongly Disagree.,Strongly Agree.
Never spend more than I can afford.,Strongly Disagree.,Strongly Agree.
Would never go hang gliding or bungee jumping.,Strongly Disagree.,Strongly Agree.
Readily overcome setbacks.,Strongly Disagree.,Strongly Agree.
Am not easily amused.,Strongly Disagree.,Strongly Agree.
Believe people should fend for themselves.,Strongly Disagree.,Strongly Agree.
Adapt easily to new situations.,Strongly Disagree.,Strongly Agree.
Have difficulty imagining things.,Strongly Disagree.,Strongly Agree.
Believe that people are essentially evil.,Strongly Disagree.,Strongly Agree.
Don't see the consequences of things.,Strongly Disagree.,Strongly Agree.
Rarely complain.,Strongly Disagree.,Strongly Agree.
Seek quiet.,Strongly Disagree.,Strongly Agree.
Do not enjoy watching dance performances.,Strongly Disagree.,Strongly Agree.
Am not bothered by disorder.,Strongly Disagree.,Strongly Agree.
Am very pleased with myself.,Strongly Disagree.,Strongly Agree.
Hold back my opinions.,Strongly Disagree.,Strongly Agree.
Misrepresent the facts.,Strongly Disagree.,Strongly Agree.
Am able to stand up for myself.,Strongly Disagree.,Strongly Agree.
React slowly.,Strongly Disagree.,Strongly Agree.
Hold a grudge.,Strongly Disagree.,Strongly Agree.
Never splurge.,Strongly Disagree.,Strongly Agree.
Dislike loud music.,Strongly Disagree.,Strongly Agree.
Avoid difficult reading material.,Strongly Disagree.,Strongly Agree.
Make myself the center of attention.,Strongly Disagree.,Strongly Agree.
Postpone decisions.,Strongly Disagree.,Strongly Agree.
Am calm even in tense situations.,Strongly Disagree.,Strongly Agree.
Seldom joke around.,Strongly Disagree.,Strongly Agree.
Like to stand during the national anthem.,Strongly Disagree.,Strongly Agree.
Can't stand weak people.,Strongly Disagree.,Strongly Agree.
Often make last-minute plans.,Strongly Disagree.,Strongly Agree.
